name,md5,abSize
audio/sound_beta_2/voice/char_181_flower.ab,66010894c8063275a20e1a1421641bc3,1494135
audio/sound_beta_2/voice/char_183_skgoat.ab,bfad35c2250ce4ffd5a37f8e0e63ab3a,1728041
audio/sound_beta_2/voice/char_185_frncat.ab,2a94c093774bbef4c6054d02c81cd81a,2215546
audio/sound_beta_2/voice/char_187_ccheal.ab,7e9a0a6606fab51269d3cf9b8bb47346,1828026
audio/sound_beta_2/voice/char_188_helage.ab,1b265e0ced60e7686419e07719220532,3547613
audio/sound_beta_2/voice/char_190_clour.ab,d8ec0ad012340a2b889bb1e06b857919,1910033
audio/sound_beta_2/voice/char_192_falco.ab,4d82a2685ee12fa67c0a94b458a9e63f,1660833
audio/sound_beta_2/voice/char_193_frostl.ab,b358de6fb5e217fd3e0e3ad6818991a9,1211576
audio/sound_beta_2/voice/char_194_leto.ab,2e44b9da090cbe07a41dbaeb2093a966,2414273
audio/sound_beta_2/voice/char_195_glassb.ab,39263f994fcda6f4a29229105bb029f9,1891278
audio/sound_beta_2/voice/char_196_sunbr.ab,0d4223b5460b687165860c68de3a5050,2247849
audio/sound_beta_2/voice/char_197_poca.ab,522cec8a945447c9a21de0e3f5beba2b,3091235
audio/sound_beta_2/voice/char_198_blackd.ab,1e4276833185419cfb81e8fba2678d85,1826262
audio/sound_beta_2/voice/char_199_yak.ab,d6d82776fdb1c0eafead7586d539fc47,1788554
audio/sound_beta_2/voice/char_2012_typhon.ab,bec75834fe268ca91964eb167427772b,2629779
audio/sound_beta_2/voice/char_2013_cerber.ab,ed8d5f9da4006739acaef695fe1b5e5e,1937342
audio/sound_beta_2/voice/char_2014_nian.ab,4aa2374ace940c4c0dfa457cd960954b,3436947
audio/sound_beta_2/voice/char_2015_dusk.ab,647513b5b905ae2bfbfdc11b31d63b7e,3794413
audio/sound_beta_2/voice/char_201_moeshd.ab,3bfea29775423baa2c3163fb1201eb46,2010582
audio/sound_beta_2/voice/char_2023_ling.ab,428bd3ccf99a4177c369b2d11f21ccfc,3218320
audio/sound_beta_2/voice/char_2023_ling_nian#12.ab,834285365e028825d7935e45edd45e21,2937675
audio/sound_beta_2/voice/char_2024_chyue.ab,d99a5ab1d4cf578427f385e46f47c212,3607050
